qd1,qd2,phrase1,phrase2,label
4965,4966,why should there be,the gypsy asked,hemingway
4967,4968,who wants to be in an army,do we make the revolution to be in an army,hemingway
4969,4970,i am willing to fight but not to be in an army,where are the others,hemingway
4971,4972,asked robert jordan,he felt comfortable and sleepy nowfrom the wine and lying back on the floor of the forest he sawthrough the tree tops the small afternoon clouds of the mountains moving slowly in the high spanish sky,hemingway
4973,4974,there are two asleep in the cave the gypsy said,two are on guard above where we have the gun,hemingway
4975,4976,one is on guard below,they are probably all asleep,hemingway
4977,4978,robert jordan rolled over on his side,what kind of a gun is it,hemingway
4979,4980,a very rare name the gypsy said,it has gone away from me for the moment,hemingway
4981,4982,it is a machine gun,it must be an automatic rifle robert jordan thought,hemingway
4983,4984,howmuch does it weigh,he asked,hemingway
4985,4986,one man can carry it but it is heavy,it has three legs that fold,hemingway
4987,4988,we got it in the last serious raid,the one before the wine,hemingway
4989,4990,howmany rounds have you for it,an infinity the gypsy said,hemingway
4991,4992,one whole case of an unbelievable heaviness,sounds like about five hundred rounds robert jordan thought,hemingway
4993,4994,does it feed from a pan or a belt,from round iron cans on the top of the gun,hemingway
4995,4996,hell its a lewis gun robert jordan thought,do you knowanything about a machine gun,hemingway
4997,4998,he asked the old man,nada said anselmo,hemingway
4999,5000,nothing,and thou,hemingway
5001,5002,to the gypsy,that they fire with much rapidity and become so hot the barrel burns the hand that touches it the gypsy said proudly,hemingway
5003,5004,every one knows that anselmo said with contempt,perhaps the gypsy said,hemingway
5005,5006,but he asked me to tell what i knowabout a maquina and i told him,then he added also unlike an ordinary rifle they continue to fire as long as you exert pressure on the trigger,hemingway
5007,5008,unless they jam run out of ammunition or get so hot they melt robert jordan said in english,what do you say,hemingway
5009,5010,anselmo asked him,nothing robert jordan said,hemingway
5011,5012,i was only looking into the future in english,that is something truly rare the gypsy said,hemingway
5013,5014,looking into the future in i ngles,can you read in the palm of the hand,hemingway
5015,5016,no robert jordan said and he dipped another cup of wine,but if thou canst i wish thee would read in the palm of my hand and tell me what is going to pass in the next three days,hemingway
5017,5018,t h e mujer of pablo reads in the hands the gypsy said,but she is so irritable and of such a barbarousness that i do not knowif she will do it,hemingway
5019,5020,robert jordan sat up nowand took a swallowof the wine,let us see the mujer of pablo now he said,hemingway
5021,5022,if it is that bad let us get it over with,i would not disturb her rafael said,hemingway
5023,5024,she has a strong hatred for me,why,hemingway
5025,5026,she treats me as a time waster,what injustice anselmo taunted,hemingway
5027,5028,she is against gypsies,what an error anselmo said,hemingway
5029,5030,she has gypsy blood rafael said,she knows of what she speaks,hemingway
5031,5032,he grinned,but she has a tongue that scalds and that bites like a bull whip,hemingway
5033,5034,with this tongue she takes the hide from any one,in strips,hemingway
5035,5036,she is of an unbelievable barbarousness,howdoes she get along with the girl maria,hemingway
5037,5038,robert jordan asked,good,hemingway
5039,5040,she likes the girl,but let any one come near her seriously he shook his head and clucked with his tongue,hemingway
5041,5042,she is very good with the girl anselmo said,she takes good care of her,hemingway
5043,5044,when we picked the girl up at the time of the train she was very strange rafael said,she would not speak and she cried all the time and if any one touched her she would shiver like a wet dog,hemingway
5045,5046,only lately has she been better,lately she has been much better,hemingway
5047,5048,today she was fine,just now talking to you she was very good,hemingway
5049,5050,we would have left her after the train,certainly it was not worth being delayed by something so sad and ugly and apparently worthless,hemingway
5051,5052,but the old woman tied a rope to her and when the girl thought she could not go further the old woman beat her with the end of the rope to make her go,then when she could not really go further the old woman carried her over her shoulder,hemingway
5053,5054,when the old woman could not carry her i carried her,we were going up that hill breast high in the gorse and heather,hemingway
5055,5056,and when i could no longer carry her pablo carried her,but what the old woman had to say to us to make us do it,hemingway
5057,5058,he shook his head at the memory,it is true that the girl is long in the legs but is not heavy,hemingway
5059,5060,the bones are light and she weighs little,but she weighs enough when we had to carry her and stop to fire and then carry her again with the old woman lashing at pablo with the rope and carrying his rifle putting it in his hand when he would drop the girl making him pick her up again and loading the gun for him while she cursed him taking the shells from his pouches and shoving them down into the magazine and cursing him,hemingway
5061,5062,the dusk was coming well on then and when the night came it was all right,but it was lucky that they had no cavalry,hemingway
5063,5064,it must have been very hard at the train anselmo said,i was not there he explained to robert jordan,hemingway
5065,5066,there was the band of pablo of el sordo whom we will see tonight and two other bands of these mountains,i had gone to the other side of the lines,hemingway
5067,5068,in addition to the blond one with the rare name  the gypsy said,kashkin,hemingway
5069,5070,yes,it is a name i can never dominate,hemingway
5071,5072,we had two with a machine gun,they were sent also by the army,hemingway
5073,5074,they could not get the gun away and lost it,certainly it weighed no more than that girl and if the old woman had been over them they would have gotten it away,hemingway
5075,5076,he shook his head remembering then went on,never in my life have i seen such a thing as when the explosion was produced,hemingway
5077,5078,the train was coming steadily,we sawit far away,hemingway
5079,5080,and i had an excitement so great that i cannot tell it,we sawsteam from it and then later came the noise of the whistle,hemingway
5081,5082,then it came chuchuchuchuchuchu steadily larger and larger and then at the moment of the explosion the front wheels of the engine rose up and all of the earth seemed to rise in a great cloud of blackness and a roar and the engine rose high in the cloud of dirt and of the wooden ties rising in the air as in a dream and then it fell onto its side like a great wounded animal and there was an explosion of white steam before the clods of the other explosion had ceased to fall on us and the maquina commenced to speak tatattatta,went the gypsy shaking his two clenched fists up and down in front of him thumbs up on an imaginary machine gun,hemingway
5083,5084,ta,ta,hemingway
5085,5086,tat,tat,hemingway
5087,5088,tat,ta,hemingway
5089,5090,he exulted,never in my life have i seen such a thing with the troops running from the train and the maquina speaking into them and the men falling,hemingway
5091,5092,it was then that i put my hand on the maquina in my excitement and discovered that the barrel burned and at that moment the old woman slapped me on the side of the face and said shoot you fool,shoot or i will kick your brains in,hemingway
5093,5094,then i commenced to shoot but it was very hard to hold my gun steady and the troops were running up the far hill,later after we had been down at the train to see what there was to take an officer forced some troops back toward us at the point of a pistol,hemingway
5095,5096,he kept waving the pistol and shouting at them and we were all shooting at him but no one hit him,then some troops lay down and commenced firing and the officer walked up and down behind them with his pistol and still we could not hit him and the maquina could not fire on him because of the position of the train,hemingway
5097,5098,this officer shot two men as they lay and still they would not get up and he was cursing them and finally they got up one two and three at a time and came running toward us and the train,then they lay flat again and fired,hemingway
5099,5100,then we left with the maquina still speaking over us as we left,it was then i found the girl where she had run from the train to the rocks and she ran with us,hemingway
5101,5102,it was those troops who hunted us until that night,it must have been something very hard anselmo said,hemingway
5103,5104,of much emotion,it was the only good thing we have done said a deep voice,hemingway
5105,5106,what are you doing now you lazy drunken obscene unsayable son of an unnameable unmarried gypsy obscenity,what are you doing,hemingway
5107,5108,robert jordan sawa woman of about fifty almost as big as pablo almost as wide as she was tall in black peasant skirt and waist with heavy wool socks on heavy legs black ropesoled shoes and a brown face like a model for a granite monument,she had big but nicelooking hands and her thick curly black hair was twisted into a knot on her neck,hemingway
5109,5110,answer me she said to the gypsy ignoring the others,i was talking to these comrades,hemingway
5111,5112,this one comes as a dynamiter,i knowall that the mujer of pablo said,hemingway
5113,5114,get out of here nowand relieve andres who is on guard at the top,me voy the gypsy said,hemingway
5115,5116,i go,he turned to robert jordan,hemingway
5117,5118,i will see thee at the hour of eating,not even in a joke said the woman to him,hemingway
5119,5120,three times you have eaten today according to my count,go nowand send me andres,hemingway
5121,5122,hola she said to robert jordan and put out her hand and smiled,howare you and howis everything in the republic,hemingway
5123,5124,good he said and returned her strong hand grip,both with me and with the republic,hemingway
5125,5126,i am happy she told him,she was looking into his face and smiling and he noticed she had fine gray eyes,hemingway
5127,5128,do you come for us to do another train,no said robert jordan trusting her instantly,hemingway
5129,5130,for a bridge,no es nada she said,hemingway
5131,5132,a bridge is nothing,when do we do another train nowthat we have horses,hemingway
5133,5134,later,this bridge is of great importance,hemingway
5135,5136,the girl told me your comrade who was with us at the train is dead,yes,hemingway
5137,5138,what a pity,never have i seen such an explosion,hemingway
5139,5140,he was a man of talent,he pleased me very much,hemingway
5141,5142,it is not possible to do another train now,there are many men here nowin the hills,hemingway
5143,5144,too many,it is already hard to get food,hemingway
5145,5146,it would be better to get out,and we have horses,hemingway
5147,5148,we have to do this bridge,where is it,hemingway
5149,5150,quite close,all the better the mujer of pablo said,hemingway
5151,5152,let us blowall the bridges there are here and get out,i am sick of this place,hemingway
5153,5154,here is too much concentration of people,no good can come of it,hemingway
5155,5156,here is a stagnation that is repugnant,she sighted pablo through the trees,hemingway
5157,5158,borracho,she called to him,hemingway
5159,5160,drunkard,rotten drunkard,hemingway
5161,5162,she turned back to robert jordan cheerfully,he is taken a leather wine bottle to drink alone in the woods she said,hemingway
5163,5164,he is drinking all the time,this life is ruining him,hemingway
5165,5166,young man i am very content that you have come,she clapped him on the back,hemingway
5167,5168,ah she said,you are bigger than you look and ran her hand over his shoulder feeling the muscle under the flannel shirt,hemingway
5169,5170,good,i am very content that you have come,hemingway
5171,5172,and i equally,we will understand each other she said,hemingway
5173,5174,have a cup of wine,we have already had some robert jordan said,hemingway
5175,5176,but will you,not until dinner she said,hemingway
5177,5178,it gives me heartburn,then she sighted pablo again,hemingway
5179,5180,borracho,she shouted,hemingway
5181,5182,drunkard,she turned to robert jordan and shook her head,hemingway
5183,5184,he was a very good man she told him,but nowhe is terminated,hemingway
5185,5186,and listen to me about another thing,be very good and careful about the girl,hemingway
5187,5188,the maria,she has had a bad time,hemingway
5189,5190,understandest thou,yes,hemingway
5191,5192,why do you say this,i sawhowshe was from seeing thee when she came into the cave,hemingway
5193,5194,i sawher watching thee before she came out,i joked with her a little,hemingway
5195,5196,she was in a very bad state the woman of pablo said,nowshe is better she ought to get out of here,hemingway
5197,5198,clearly she can be sent through the lines with anselmo,you and the anselmo can take her when this terminates,hemingway
5199,5200,robert jordan felt the ache in his throat and his voice thickening,that might be done he said,hemingway
5201,5202,the mujer of pablo looked at him and shook her head,ayee,hemingway
5203,5204,ayee she said,are all men like that,hemingway
5205,5206,i said nothing,she is beautiful you knowthat,hemingway
5207,5208,no she is not beautiful,but she begins to be beautiful you mean the woman of pablo said,hemingway
5209,5210,men,it is a shame to us women that we make them,hemingway
5211,5212,no,in seriousness,hemingway
5213,5214,are there not homes to care for such as her under the republic,yes said robert jordan,hemingway
5215,5216,good places,on the coast near valencia,hemingway
5217,5218,in other places too,there they will treat her well and she can work with children,hemingway
5219,5220,there are the children from evacuated villages,they will teach her the work,hemingway
5221,5222,that is what i want the mujer of pablo said,pablo has a sickness for her already,hemingway
5223,5224,it is another thing which destroys him,it lies on him like a sickness when he sees her,hemingway
5225,5226,it is best that she goes now,we can take her after this is over,hemingway
5227,5228,and you will be careful of her nowif i trust you,i speak to you as though i knewyou for a long time,hemingway
5229,5230,it is like that robert jordan said when people understand one another,sit down the woman of pablo said,hemingway
5231,5232,i do not ask any promise because what will happen will happen,only if you will not take her out then i ask a promise,hemingway
5233,5234,why if i would not take her,because i do not want her crazy here after you will go,hemingway
5235,5236,i have had her crazy before and i have enough without that,we will take her after the bridge robert jordan said,hemingway
5237,5238,if we are alive after the bridge we will take her,i do not like to hear you speak in that manner,hemingway
5239,5240,that manner of speaking never brings luck,i spoke in that manner only to make a promise robert jordan said,hemingway
5241,5242,i am not of those who speak gloomily,let me see thy hand the woman said,hemingway
5243,5244,robert jordan put his hand out and the woman opened it held it in her own big hand rubbed her thumb over it and looked at it carefully then dropped it,she stood up,hemingway
5245,5246,he got up too and she looked at him without smiling,what did you see in it,hemingway
5247,5248,robert jordan asked her,i do not believe in it,hemingway
5249,5250,you will not scare me,nothing she told him,hemingway
5251,5252,i sawnothing in it,yes you did,hemingway
5253,5254,i am only curious,i do not believe in such things,hemingway
5255,5256,in what do you believe,in many things but not in that,hemingway
5257,5258,in what,in my work,hemingway
5259,5260,yes i sawthat,tell me what else you saw,hemingway
5261,5262,i sawnothing else she said bitterly,the bridge is very difficult you said,hemingway
5263,5264,no,i said it is very important,hemingway
5265,5266,but it can be difficult,yes,hemingway
5267,5268,and nowi go down to look at it,howmany men have you here,hemingway
5269,5270,five that are any good,the gypsy is worthless although his intentions are good,hemingway
5271,5272,he has a good heart,pablo i no longer trust,hemingway
5273,5274,howmany men has el sordo that are good,perhaps eight,hemingway
5275,5276,we will see tonight,he is coming here,hemingway
5277,5278,he is a very practical man,he also has some dynamite,hemingway
5279,5280,not very much though,you will speak with him,hemingway
5281,5282,have you sent for him,he comes every night,hemingway
5283,5284,he is a neighbor,also a friend as well as a comrade,hemingway
5285,5286,what do you think of him,he is a very good man,hemingway
5287,5288,also very practical,in the business of the train he was enormous,hemingway
5289,5290,and in the other bands,advising them in time it should be possible to unite fifty rifles of a certain dependability,hemingway
5291,5292,howdependable,dependable within the gravity of the situation,hemingway
5293,5294,and howmany cartridges per rifle,perhaps twenty,hemingway
5295,5296,depending howmany they would bring for this business,if they would come for this business,hemingway
5297,5298,remember thee that in this of a bridge there is no money and no loot and in thy reservations of talking much danger and that afterwards there must be a moving from these mountains,many will oppose this of the bridge,hemingway
5299,5300,clearly,in this way it is better not to speak of it unnecessarily,hemingway
5301,5302,i am in accord,then after thou hast studied thy bridge we will talk tonight with el sordo,hemingway
5303,5304,i go down nowwith anselmo,wake him then she said,hemingway
5305,5306,do you want a carbine,thank you he told her,hemingway
5307,5308,it is good to have but i will not use it,i go to look not to make disturbances,hemingway
5309,5310,thank you for what you have told me,i like very much your way of speaking,hemingway
5311,5312,i try to speak frankly,then tell me what you sawin the hand,hemingway
5313,5314,no she said and shook her head,i sawnothing,hemingway
5315,5316,go nowto thy bridge,i will look after thy equipment,hemingway
5317,5318,cover it and that no one should touch it,it is better there than in the cave,hemingway
5319,5320,it shall be covered and no one shall touch it the woman of pablo said,go nowto thy bridge,hemingway
5321,5322,anselmo robert jordan said putting his hand on the shoulder of the old man who lay sleeping his head on his arms,the old man looked up,hemingway
5323,5324,yes he said,of course,hemingway
5325,5326,let us go,they came down the last two hundred yards moving carefully from tree to tree in the shadows and now through the last pines of the steep hillside the bridge was only fifty yards away,hemingway
5327,5328,the late afternoon sun that still came over the brown shoulder of the mountain showed the bridge dark against the steep emptiness of the gorge,it was a steel bridge of a single span and there was a sentry box at each end,hemingway
5329,5330,it was wide enough for two motor cars to pass and it spanned in solidflung metal grace a deep gorge at the bottom of which far below a brook leaped in white water through rocks and boulders down to the main stream of the pass,the sun was in robert jordans eyes and the bridge showed only in outline,hemingway
5331,5332,then the sun lessened and was gone and looking up through the trees at the brown rounded height that it had gone behind he saw now that he no longer looked into the glare that the mountain slope was a delicate newgreen and that there were patches of old snowunder the crest,then he was watching the bridge again in the sudden short trueness of the little light that would be left and studying its construction,hemingway
5333,5334,the problem of its demolition was not difficult,as he watched he took out a notebook from his breast pocket and made several quick line sketches,hemingway
5335,5336,as he made the drawings he did not figure the charges,he would do that later,hemingway
5337,5338,nowhe was noting the points where the explosive should be placed in order to cut the support of the span and drop a section of it into the gorge,it could be done unhurriedly scientifically and correctly with a half dozen charges laid and braced to explode simultaneously or it could be done roughly with two big ones,hemingway
5339,5340,they would need to be very big ones on opposite sides and should go at the same time,he sketched quickly and happily glad at last to have the problem under his hand glad at last actually to be engaged upon it,hemingway
5341,5342,then he shut his notebook pushed the pencil into its leather holder in the edge of the flap put the notebook in his pocket and buttoned the pocket,while he had sketched anselmo had been watching the road the bridge and the sentry boxes,hemingway
5343,5344,he thought they had come too close to the bridge for safety and when the sketching was finished he was relieved,as robert jordan buttoned the flap of his pocket and then lay flat behind the pine trunk looking out from behind it anselmo put his hand on his elbowand pointed with one finger,hemingway
5345,5346,in the sentry box that faced toward them up the road the sentry was sitting holding his rifle the bayonet fixed between his knees,he was smoking a cigarette and he wore a knitted cap and blanket style cape,hemingway
5347,5348,at fifty yards you could not see anything about his face,robert jordan put up his field glasses shading the lenses carefully with his cupped hands even though there was nowno sun to make a glint and there was the rail of the bridge as clear as though you could reach out and touch it and there was the face of the senty so clear he could see the sunken cheeks the ash on the cigarette and the greasy shine of the bayonet,hemingway
5349,5350,it was a peasants face the cheeks hollowunder the high cheekbones the beard stubbled the eyes shaded by the heavy brows big hands holding the rifle heavy boots showing beneath the folds of the blanket cape,there was a worn blackened leather wine bottle on the wall of the sentry box there were some newspapers and there was no telephone,hemingway
5351,5352,there could of course be a telephone on the side he could not see but there were no wires running from the box that were visible,a telephone line ran along the road and its wires were carried over the bridge,hemingway
5353,5354,there was a charcoal brazier outside the sentry box made from an old petrol tin with the top cut off and holes punched in it which rested on two stones but he held no fire,there were some fireblackened empty tins in the ashes under it,hemingway
5355,5356,robert jordan handed the glasses to anselmo who lay flat beside him,the old man grinned and shook his head,hemingway
5357,5358,he tapped his skull beside his eye with one finger,y a lo veo he said in spanish,hemingway
5359,5360,i have seen him speaking from the front of his mouth with almost no movement of his lips in the way that is quieter than any whisper,he looked at the sentry as robert jordan smiled at him and pointing with one finger drewthe other across his throat,hemingway
5361,5362,robert jordan nodded but he did not smile,the sentry box at the far end of the bridge faced away from them and down the road and they could not see into it,hemingway
5363,5364,the road which was broad and oiled and well constructed made a turn to the left at the far end of the bridge and then swung out of sight around a curve to the right,at this point it was enlarged from the old road to its present width by cutting into the solid bastion of the rock on the far side of the gorge and its left or western edge looking down from the pass and the bridge was marked and protected by a line of upright cut blocks of stone where its edge fell sheer away to the gorge,hemingway
5365,5366,the gorge was almost a canyon here where the brook that the bridge was flung over merged with the main stream of the pass,and the other post,hemingway
5367,5368,robert jordan asked anselmo,five hundred meters belowthat turn,hemingway
5369,5370,in the roadmenders hut that is built into the side of the rock,howmany men,hemingway
5371,5372,robert jordan asked,he was watching the sentry again with his glasses,hemingway
5373,5374,the sentry rubbed his cigarette out on the plank wall of the box then took a leather tobacco pouch from his pocket opened the paper of the dead cigarette and emptied the remnant of used tobacco into the pouch,the sentry stood up leaned his rifle against the wall of the box and stretched then picked up his rifle slung it over his shoulder and walked out onto the bridge,hemingway
5375,5376,anselmo flattened on the ground and robert jordan slipped his glasses into his shirt pocket and put his head well behind the pine tree,there are seven men and a corporal anselmo said close to his ear,hemingway
5377,5378,i informed myself from the gypsy,we will go nowas soon as he is quiet robert jordan said,hemingway
5379,5380,we are too close,hast thou seen what thou needest,hemingway
5381,5382,yes,all that i need,hemingway
5383,5384,it was getting cold quickly nowwith the sun down and the light was failing as the afterglowfrom the last sunlight on the mountains behind them faded,howdoes it look to thee,hemingway
5385,5386,anselmo said softly as they watched the sentry walk across the bridge toward the other box his bayonet bright in the last of the afterglow his figure unshapely in the blanket coat,very good robert jordan said,hemingway
5387,5388,very very good,i am glad anselmo said,hemingway
5389,5390,should we go,nowthere is no chance that he sees us,hemingway
5391,5392,the sentry was standing his back toward them at the far end of the bridge,from the gorge came the noise of the stream in the boulders,hemingway
5393,5394,then through this noise came another noise a steady racketing drone and they sawthe sentry looking up his knitted cap slanted back and turning their heads and looking up they saw high in the evening sky three monoplanes in v formation showing minute and silvery at that height where there still was sun passing unbelievably quickly across the sky their motors nowthrobbing steadily,ours,hemingway
5395,5396,anselmo asked,they seem so robert jordan said but knewthat at that height you never could be sure,hemingway
5397,5398,they could be an evening patrol of either side,but you always said pursuit planes were ours because it made people feel better,hemingway
5399,5400,bombers were another matter,anselmo evidently felt the same,hemingway
5401,5402,they are ours he said,i recognize them,hemingway
5403,5404,they are moscas,good said robert jordan,hemingway
5405,5406,they seem to me to be moscas too,they are moscas anselmo said,hemingway
5407,5408,robert jordan could have put the glasses on them and been sure instantly but he preferred not to,it made no difference to him who they were tonight and if it pleased the old man to have them be ours he did not want to take them away,hemingway
5409,5410,now as they moved out of sight toward segovia they did not look to be the green red wingtipped lowwing russian conversion of the boeing p32 that the spaniards called moscas,you could not see the colors but the cut was wrong,hemingway
5411,5412,no,it was a fascist patrol coming home,hemingway
5413,5414,the sentry was still standing at the far box with his back turned,let us go robert jordan said,hemingway
5415,5416,he started up the hill moving carefully and taking advantage of the cover until they were out of sight,anselmo followed him at a hundred yards distance,hemingway
5417,5418,when they were well out of sight of the bridge he stopped and the old man came up and went into the lead and climbed steadily through the pass up the steep slope in the dark,we have a formidable aviation the old man said happily,hemingway
5419,5420,yes,and we will win,hemingway
5421,5422,we have to win,yes,hemingway
5423,5424,and after we have won you must come to hunt,to hunt what,hemingway
5425,5426,the boar the bear the wolf the ibex you like to hunt,yes man,hemingway
5427,5428,more than anything,we all hunt in my village,hemingway
5429,5430,you do not like to hunt,no said robert jordan,hemingway
5431,5432,i do not like to kill animals,with me it is the opposite the old man said,hemingway
5433,5434,i do not like to kill men,nobody does except those who are disturbed in the head robert jordan said,hemingway
5435,5436,but i feel nothing against it when it is necessary,when it is for the cause,hemingway
5437,5438,it is a different thing though anselmo said,in my house when i had a house and nowi have no house there were the tusks of boar i had shot in the lower forest,hemingway
5439,5440,there were the hides of wolves i had shot,in the winter hunting them in the snow,hemingway
5441,5442,one very big one i killed at dusk in the outskirts of the village on my way home one night in november,there were four wolf hides on the floor of my house,hemingway
5443,5444,they were worn by stepping on them but they were wolf hides,there were the horns of ibex that i had killed in the high sierra and there was an eagle stuffed by an embalmer of birds of avila with his wings spread and eyes as yellowand real as the eyes of an eagle alive,hemingway
5445,5446,it was a very beautiful thing and all of those things gave me great pleasure to contemplate,yes said robert jordan,hemingway
5447,5448,on the door of the church of my village was nailed the pawof a bear that i killed in the spring finding him on a hillside in the snow overturning a log with this same paw,when was this,hemingway
5449,5450,six years ago,and every time i sawthat paw like the hand of a man but with those long claws dried and nailed through the palm to the door of the church i received a pleasure,hemingway
5451,5452,of pride,of pride of remembrance of the encounter with the bear on that hillside in the early spring,hemingway
5453,5454,but of the killing of a man who is a man as we are there is nothing good that remains,you can not nail his pawto the church robert jordan said,hemingway
5455,5456,no,such a barbarity is unthinkable,hemingway
5457,5458,yet the hand of a man is like the pawof a bear,so is the chest of a man like the chest of a bear robert jordan said,hemingway
5459,5460,with the hide removed from the bear there are many similarities in the muscles,yes anselmo said,hemingway
5461,5462,the gypsies believe the bear to be a brother of man,so do the indians in america robert jordan said,hemingway
5463,5464,and when they kill a bear they apologize to him and ask his pardon,they put his skull in a tree and they ask him to forgive them before they leave it,hemingway
5465,5466,the gypsies believe the bear to be a brother to man because he has the same body beneath his hide because he drinks beer because he enjoys music and because he likes to dance,so also believe the indians,hemingway
5467,5468,are the indians then gypsies,no,hemingway
5469,5470,but they believe alike about the bear,clearly,hemingway
5471,5472,the gypsies also believe he is a brother because he steals for pleasure,have you gypsy blood,hemingway
5473,5474,no,but i have seen much of them and clearly since the movement more,hemingway
5475,5476,there are many in the hills,to them it is not a sin to kill outside the tribe,hemingway
5477,5478,they deny this but it is true,like the moors,hemingway
5479,5480,yes,but the gypsies have many laws they do not admit to having,hemingway
5481,5482,in the war many gypsies have become bad again as they were in olden times,they do not understand why the war is made,hemingway
5483,5484,they do not knowfor what we fight,no anselmo said,hemingway
5485,5486,they only knownowthere is a war and people may kill again as in the olden times without a surety of punishment,you have killed,hemingway
5487,5488,robert jordan asked in the intimacy of the dark and of their day together,yes,hemingway
5489,5490,several times,but not with pleasure,hemingway
5491,5492,to me it is a sin to kill a man,even fascists whom we must kill,hemingway
5493,5494,to me there is a great difference between the bear and the man and i do not believe the wizardry of the gypsies about the brotherhood with animals,no,hemingway
5495,5496,i am against all killing of men,yet you have killed,hemingway
5497,5498,yes,and will again,hemingway
5499,5500,but if i live later i will try to live in such a way doing no harm to any one that it will be forgiven,by whom,hemingway
5501,5502,who knows,since we do not have god here any more neither his son nor the holy ghost who forgives,hemingway
5503,5504,i do not know,you have not god any more,hemingway
5505,5506,no,man,hemingway
5507,5508,certainly not,if there were god never would he have permitted what i have seen with my eyes,hemingway
5509,5510,let them have god,they claim him,hemingway
5511,5512,clearly i miss him having been brought up in religion,but nowa man must be responsible to himself,hemingway
5513,5514,then it is thyself who will forgive thee for killing,i believe so anselmo said,hemingway
5515,5516,since you put it clearly in that way i believe that must be it,but with or without god i think it is a sin to kill,hemingway
5517,5518,to take the life of another is to me very grave,i will do it whenever necessary but i am not of the race of pablo,hemingway
5519,5520,to win a war we must kill our enemies,that has always been true,hemingway
5521,5522,clearly,in war we must kill,hemingway
5523,5524,but i have very rare ideas anselmo said,they were walking nowclose together in the dark and he spoke softly sometimes turning his head as he climbed,hemingway
5525,5526,i would not kill even a bishop,i would not kill a proprietor of any kind,hemingway
5527,5528,i would make them work each day as we have worked in the fields and as we work in the mountains with the timbet all of the rest of their lives,so they would see what man is born to,hemingway
5529,5530,that they should sleep where we sleep,that they should eat as we eat,hemingway
5531,5532,but above all that they should work,thus they would learn,hemingway
5533,5534,and they would survive to enslave thee again,to kill them teaches nothing anselmo said,hemingway
5535,5536,you cannot exterminate them because from their seed comes more with greater hatred,prison is nothing,hemingway
5537,5538,prison only makes hatred,that all our enemies should learn,hemingway
5539,5540,but still thou hast killed,yes anselmo said,hemingway
5541,5542,many times and will again,but not with pleasure and regarding it as a sin,hemingway
5543,5544,and the sentry,you joked of killing the sentry,hemingway
5545,5546,that was in joke,i would kill the sentry,hemingway
5547,5548,yes,certainly and with a clear heart considering our task,hemingway
5549,5550,but not with pleasure,we will leave them to those who enjoy it robert jordan said,hemingway
5551,5552,there are eight and five,that is thirteen for those who enjoy it,hemingway
5553,5554,there are many of those who enjoy it anselmo said in the dark,we have many of those,hemingway
5555,5556,more of those than of men who would serve for a battle,hast thou ever been in a battle,hemingway
5557,5558,nay the old man said,we fought in segovia at the start of the movement but we were beaten and we ran,hemingway
5559,5560,i ran with the others,we did not truly understand what we were doing nor howit should be done,hemingway
5561,5562,also i had only a shotgun with cartridges of large buckshot and the guardia civil had mausers,i could not hit them with buckshot at a hundred yards and at three hundred yards they shot us as they wished as though we were rabbits,hemingway
5563,5564,they shot much and well and we were like sheep before them,he was silent,hemingway
5565,5566,then asked thinkest thou there will be a battle at the bridge,there is a chance,hemingway
5567,5568,i have never seen a battle without running anselmo said,i do not knowhowi would comport myself,hemingway
5569,5570,i am an old man and i have wondered,i will respond for thee robert jordan told him,hemingway
5571,5572,and hast thou been in many battles,several,hemingway
5573,5574,and what thinkest thou of this of the bridge,first i think of the bridge,hemingway
5575,5576,that is my business,it is not difficult to destroy the bridge,hemingway
5577,5578,then we will make the dispositions for the rest,for the preliminaries,hemingway
5579,5580,it will all be written,very fewof these people read anselmo said,hemingway
5581,5582,it will be written for every ones knowledge so that all know but also it will be clearly explained,i will do that to which i am assigned anselmo said,hemingway
5583,5584,but remembering the shooting in segovia if there is to be a battle or even much exchanging of shots i would wish to have it very clear what i must do under all circumstances to avoid running,i remember that i had a great tendency to run at segovia,hemingway
5585,5586,we will be together robert jordan told him,i will tell you what there is to do at all times,hemingway
5587,5588,then there is no problem anselmo said,i can do anything that i am ordered,hemingway
5589,5590,for us will be the bridge and the battle should there be one robert jordan said and saying it in the dark he felt a little theatrical but it sounded well in spanish,it should be of the highest interest anselmo said and hearing him say it honestly and clearly and with no pose neither the english pose of understatement nor any latin bravado robert jordan thought he was very lucky to have this old man and having seen the bridge and worked out and simplified the problem it would have been to surprise the posts and blowit in a normal way he resented golzs orders and the necessity for them,hemingway
5591,5592,he resented them for what they could do to him and for what they could do to this old man,they were bad orders all right for those who would have to carry them out,hemingway
5593,5594,and that is not the way to think he told himself and there is not you and there are no people that things must not happen to,neither you nor this old man is anything,hemingway
5595,5596,you are instruments to do your duty,there are necessary orders that are no fault of yours and there is a bridge and that bridge can be the point on which the future of the human race can turn,hemingway
5597,5598,as it can turn on everything that happens in this war,you have only one thing to do and you must do it,hemingway
5599,5600,only one thing hell he thought,if it were one thing it was easy,hemingway
5601,5602,stop worrying you windy bastard he said to himself,think about something else,hemingway
5603,5604,so he thought about the girl maria with her skin the hair and the eyes all the same golden tawny brown the hair a little darker than the rest but it would be lighter as her skin tanned deeper the smooth skin pale gold on the surface with a darkness underneath,smooth it would be all of her body smooth and she moved awkwardly as though there were something of her and about her that embarrassed her as though it were visible though it was not but only in her mind,hemingway
